n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.4206247939304872,0.5468291432901085,0.5426643996048951,3
500,500,1000,1,0.5419943451881408,0.5858221086821495,0.5847264165319502,83
500,500,1000,2,0.39168263226747513,0.5488129444344544,0.546141730338335,3
500,500,1000,3,0.3887456792872399,0.5377173692003385,0.5329502758709714,3
500,500,1000,4,0.43453840708190744,0.5512543284183783,0.5486865768674761,3
1000,500,1000,0,0.4243959504546541,0.5802563818712404,0.5751129873066675,3
1000,500,1000,1,0.53709634074143,0.6287067120452742,0.6274241686090827,96
1000,500,1000,2,0.47488975095061153,0.5870560524732762,0.5841397287081928,3
1000,500,1000,3,0.4937500713333007,0.5877894178850785,0.584874196050223,3
1000,500,1000,4,0.44709670676716734,0.5886141264757502,0.584651639342308,3
2000,500,1000,0,0.6163851701551013,0.6381003132313949,0.6375140065960586,99
2000,500,1000,1,0.4773394206055888,0.6299128735692595,0.6257933898139745,2
2000,500,1000,2,0.529695600271225,0.6184770599037955,0.6168789931684733,2
2000,500,1000,3,0.45745528524830226,0.6555141536509418,0.6513549183011055,52
2000,500,1000,4,0.5528939600501742,0.6341334691918177,0.6318587620268808,82
5000,500,1000,0,0.6925453402494129,0.6738064227365603,0.6741624615415931,14
5000,500,1000,1,0.6429755836725235,0.6695355628731849,0.668845004341565,5
5000,500,1000,2,0.6863511370288001,0.6728165730447062,0.6730601952522993,3
5000,500,1000,3,0.72257552643617,0.6640993991482658,0.6658536847708747,19
5000,500,1000,4,0.6284711294704013,0.6710499050057033,0.6695170708484948,28
7000,500,1000,0,0.6485910759522364,0.6695086915520243,0.6689648319464176,12
7000,500,1000,1,0.7245492154643649,0.6704626383399733,0.6715984561317601,7
7000,500,1000,2,0.7237876816229387,0.6778691824885553,0.6788793894471601,8
7000,500,1000,3,0.6301477874318758,0.6934785764441004,0.6919586379548418,9
7000,500,1000,4,0.6811851470366769,0.6861970398838164,0.6860817654971033,6
