number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_epochs,params_lr,params_patience,params_weight_decay,state
28,0.2921929228075936,2025-11-27 17:44:34.412792,2025-11-27 17:45:17.241884,0 days 00:00:42.829092,0.40339758710307083,75,0.00046607195740064724,14,4.098344677903882e-05,COMPLETE
29,0.30392560551646,2025-11-27 17:45:17.305536,2025-11-27 17:45:34.751302,0 days 00:00:17.445766,0.3620855498331714,73,0.0005398157946827321,15,1.7946417421701225e-06,COMPLETE
30,0.2992361655905227,2025-11-27 17:45:34.813426,2025-11-27 17:46:09.223166,0 days 00:00:34.409740,0.4098969429050575,59,0.00023871653104209686,17,1.0048907131052764e-06,COMPLETE
31,0.2952498345335653,2025-11-27 17:46:09.311400,2025-11-27 17:46:36.867836,0 days 00:00:27.556436,0.45292465044354097,76,0.00018575498940441817,14,3.7076324284400746e-05,COMPLETE
32,0.2990674939694155,2025-11-27 17:46:36.930302,2025-11-27 17:47:05.253872,0 days 00:00:28.323570,0.43374615683821266,82,0.0004938959260360584,13,9.999268780246396e-05,COMPLETE
33,0.3083460534571288,2025-11-27 17:47:05.317663,2025-11-27 17:47:42.933766,0 days 00:00:37.616103,0.0005485654915033944,88,0.00010746260479107584,10,1.761977555597056e-05,COMPLETE
34,0.29496741820301237,2025-11-27 17:47:42.997034,2025-11-27 17:48:22.830897,0 days 00:00:39.833863,0.4722148950727959,69,0.0002853226125665944,16,1.0211379906595316e-05,COMPLETE
35,0.2951541630032962,2025-11-27 17:48:22.893900,2025-11-27 17:48:42.536282,0 days 00:00:19.642382,0.38832988539914626,31,0.0004171604077433993,6,6.092095470254803e-05,COMPLETE
36,0.29598596142014855,2025-11-27 17:48:42.599073,2025-11-27 17:49:05.599074,0 days 00:00:23.000001,0.340968668386911,37,0.0007289663375201201,13,2.7970250061568923e-05,COMPLETE
37,0.2907916934693812,2025-11-27 17:49:05.662703,2025-11-27 17:49:39.615195,0 days 00:00:33.952492,0.48006759815785593,58,0.00018097206042549512,21,0.00037714844262938914,COMPLETE
38,0.29112141782587225,2025-11-27 17:49:39.688158,2025-11-27 17:50:13.593807,0 days 00:00:33.905649,0.28328715054293024,58,0.00018526728106537773,24,0.00038937896073806713,COMPLETE
39,0.2927986347314083,2025-11-27 17:50:13.657627,2025-11-27 17:50:46.808677,0 days 00:00:33.151050,0.2021127684681916,57,0.0001640739634796949,25,0.00033936836557962695,COMPLETE
40,0.2991363325723275,2025-11-27 17:50:46.873300,2025-11-27 17:51:13.625392,0 days 00:00:26.752092,0.3044352024347928,45,8.177094290113548e-05,21,0.0008577481516227146,COMPLETE
41,0.2914187546932336,2025-11-27 17:51:13.687125,2025-11-27 17:51:42.958427,0 days 00:00:29.271302,0.2817651017485543,49,0.00021159241780984215,20,0.0004411072095814287,COMPLETE
42,0.2915386398304921,2025-11-27 17:51:43.020339,2025-11-27 17:52:10.954899,0 days 00:00:27.934560,0.17139071229357022,47,0.00021040160036363278,20,0.0004315680279865409,COMPLETE
43,0.2931543013937874,2025-11-27 17:52:11.018004,2025-11-27 17:52:39.895346,0 days 00:00:28.877342,0.11850003499770817,49,0.0002013285312911136,20,0.00042578525398856616,COMPLETE
44,0.2995808459510488,2025-11-27 17:52:39.962746,2025-11-27 17:53:02.502282,0 days 00:00:22.539536,0.16493096548205033,37,0.00011562342177305507,24,0.0006185546441669668,COMPLETE
45,0.2906688244874812,2025-11-27 17:53:02.566751,2025-11-27 17:53:32.892620,0 days 00:00:30.325869,0.2751619057090079,51,0.00018480233715593633,18,0.0004553431325758312,COMPLETE
46,0.29069505644238686,2025-11-27 17:53:32.954353,2025-11-27 17:54:03.157832,0 days 00:00:30.203479,0.2892432510092321,51,0.0001611180604632697,18,0.00044017533998328773,COMPLETE
47,0.29167634133793435,2025-11-27 17:54:03.220213,2025-11-27 17:54:34.125745,0 days 00:00:30.905532,0.2787996822536023,52,0.00015660767538453298,18,0.0007492358474584183,COMPLETE
48,0.29456086526560715,2025-11-27 17:54:34.192511,2025-11-27 17:54:59.555944,0 days 00:00:25.363433,0.22813148813328893,41,0.000246642680779554,26,0.00013176395728999412,COMPLETE
49,0.29694961647685236,2025-11-27 17:54:59.616839,2025-11-27 17:55:13.721800,0 days 00:00:14.104961,0.2741311704471099,20,0.00017432991060319257,22,0.0005304571842612198,COMPLETE
50,0.29820408571521767,2025-11-27 17:55:13.784311,2025-11-27 17:55:48.209253,0 days 00:00:34.424942,0.3139900719873693,61,0.00033636862010995045,18,0.0007003268942872293,COMPLETE
51,0.29224275294742635,2025-11-27 17:55:48.274219,2025-11-27 17:56:16.299696,0 days 00:00:28.025477,0.2233098161511572,46,0.0002103944973361195,20,0.0004342959386088844,COMPLETE
52,0.29696452847525434,2025-11-27 17:56:16.363127,2025-11-27 17:56:49.808009,0 days 00:00:33.444882,0.10115159730728421,55,0.0001399936150482392,28,0.0003576367517642244,COMPLETE
53,0.29126579505352934,2025-11-27 17:56:49.873745,2025-11-27 17:57:20.421182,0 days 00:00:30.547437,0.2585601354837919,51,0.0002286115602764664,20,0.00020447601046174682,COMPLETE
54,0.2924768747377002,2025-11-27 17:57:20.482652,2025-11-27 17:57:51.843706,0 days 00:00:31.361054,0.24353188596339656,52,0.00027479672586333835,23,0.0002327382350420077,COMPLETE
