n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
0,5000,0,0.44780938265224296,0.7103795680637724,0.7038695640876741,89
0,5000,1,0.516534229947461,0.7074010490543751,0.702668814978257,79
0,5000,2,0.45272446423768997,0.7171859696670567,0.7106290721403788,94
0,5000,3,0.4174255370679829,0.7166324164100139,0.7092140652957698,92
0,5000,4,0.48236681272586185,0.7118548235183814,0.7061650386438051,91
120,4880,0,0.6370710987183783,0.7066052962557576,0.7048813084899845,94
120,4880,1,0.7158657676643796,0.7065799952521499,0.7068102232567945,89
120,4880,2,0.7252718367510371,0.7116047102329189,0.7119435641475884,82
120,4880,3,0.6489094930390517,0.7122102248611318,0.710640784785326,94
120,4880,4,0.753612547285027,0.7115237427991157,0.7125672684115237,75
