n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
0,5000,0,0.4228357854816649,0.698190527007189,0.6913635501286564,2
0,5000,1,0.4997018161747191,0.696779523787219,0.6918933014120822,2
0,5000,2,0.447437793844276,0.7027185771661668,0.6963893004536588,1
0,5000,3,0.40480139458345044,0.7076542058322937,0.7001454582561023,2
0,5000,4,0.47115083783864975,0.6985464361486404,0.6929085276646991,1
120,4880,0,0.6263491287827492,0.696700773180836,0.6949565184377031,62
120,4880,1,0.6978066273861461,0.6829832079787449,0.6833507300927958,14
120,4880,2,0.6881222000552548,0.6833477668894329,0.6834661391423887,5
120,4880,3,0.6279013965071903,0.6829993594806157,0.6816332938519022,6
120,4880,4,0.7428662491341432,0.6960541789070045,0.697214808519006,51
