n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.4565237055222193,0.5182764506265137,0.5164238685583695,3
500,500,1000,1,0.34240139511070755,0.5265438602069558,0.5230451533151791,3
500,500,1000,2,0.5048613630235195,0.5233735267668195,0.5228181613646448,3
500,500,1000,3,0.3311100470877829,0.5312372661434471,0.5270345956422389,3
500,500,1000,4,0.41633353868256445,0.52617021479254,0.5236439723158255,3
1000,500,1000,0,0.554794542491436,0.605037559402547,0.6036307562701404,85
1000,500,1000,1,0.41700093683443573,0.5717183314930746,0.5687787023058627,2
1000,500,1000,2,0.552607271533746,0.6033403343727595,0.6020212743254378,82
1000,500,1000,3,0.40385418981313703,0.5735171285590955,0.5701238691918552,2
1000,500,1000,4,0.49940395621316774,0.5782284709460144,0.5760213846080006,3
2000,500,1000,0,0.686347835737726,0.6434312120018987,0.6444182938076556,95
2000,500,1000,1,0.5644592092587397,0.6469517218530392,0.6448069173898547,95
2000,500,1000,2,0.6187013777032975,0.6289963603233082,0.6286772170914336,82
2000,500,1000,3,0.6224955759942532,0.644852856643574,0.6444057116489857,76
2000,500,1000,4,0.6172323549787203,0.649692990618651,0.6489139347076416,76
5000,500,1000,0,0.6891242989471981,0.6739876367288724,0.6743055062629283,14
5000,500,1000,1,0.6933208611504785,0.6697798656754341,0.670462552189827,16
5000,500,1000,2,0.645371849046034,0.6714657332562478,0.6710221369415522,12
5000,500,1000,3,0.6738509664932887,0.6754725189284259,0.6754238734133542,28
5000,500,1000,4,0.6588817422588666,0.662544842028856,0.662434947099071,14
7000,500,1000,0,0.7200202653805415,0.6783065417330213,0.679557952250354,11
7000,500,1000,1,0.7144413771836654,0.6903694777262369,0.6909231323599815,11
7000,500,1000,2,0.6905365884304047,0.6895727767961992,0.6895930150821805,5
7000,500,1000,3,0.6289208888493735,0.6820345198165867,0.6804942254591734,8
7000,500,1000,4,0.6400082958862185,0.6922230277660741,0.6905521546956152,21
