# 2025-12-13 15:02:09
# 5特徴量使用, MLPモデル
# mlp vs. attention_mlp 比較用のためのmlp
n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch,model_type
0,7000,0,0.4557365297029416,0.6923374265070988,0.6864141781603262,8,mlp
0,7000,1,0.38908280949625706,0.6953106897507134,0.6876443429553417,8,mlp
0,7000,2,0.4360690981460114,0.6924382738407685,0.6860201307128784,8,mlp
0,7000,3,0.3827498217837678,0.696822219984889,0.6889594896457565,11,mlp
0,7000,4,0.4341523257187671,0.689195573201055,0.6828106247401577,10,mlp
1,6999,0,0.4264452014532354,0.6925061434565827,0.685845369701073,7,mlp
1,6999,1,0.38470487482845783,0.6957475751526814,0.6879606925544325,8,mlp
1,6999,2,0.4222066016453836,0.6948897419430943,0.688063181791667,8,mlp
1,6999,3,0.38963112535162103,0.6997446569716411,0.6919810370644438,7,mlp
1,6999,4,0.4394571418977446,0.6882602887144432,0.6820315591342001,9,mlp
2,6998,0,0.43047921111186344,0.6925391535621439,0.6859785433034821,7,mlp
2,6998,1,0.430024290871289,0.6941550811234537,0.6875426274761869,11,mlp
2,6998,2,0.4287184923369851,0.6950547668286406,0.6883870984608326,7,mlp
2,6998,3,0.3753203774491946,0.6923774380127922,0.6844399874105076,8,mlp
2,6998,4,0.47359082144167686,0.6895880230584384,0.684180583210059,11,mlp
5,6995,0,0.46045087629722226,0.6937866202328412,0.6879451140471228,5,mlp
5,6995,1,0.4288525612403949,0.6977415736419244,0.6910099989251443,7,mlp
5,6995,2,0.43878944569991696,0.6905576285989835,0.6842546706115089,7,mlp
5,6995,3,0.4070703234109614,0.6985655304033856,0.6912680151995391,9,mlp
5,6995,4,0.4350888489021195,0.6932521354537936,0.6867890772082673,8,mlp
10,6990,0,0.49920718454652363,0.694001250633287,0.6891246251943256,6,mlp
10,6990,1,0.4624018544952075,0.694998619960722,0.6891756140761679,15,mlp
10,6990,2,0.46524343204994995,0.6912307636852186,0.6855732228384147,9,mlp
10,6990,3,0.4345755132122172,0.7001491253212434,0.6935005517344875,9,mlp
10,6990,4,0.48137694866293007,0.6900305000506475,0.6848069052694441,8,mlp
20,6980,0,0.5289509433011214,0.6863165523500824,0.6823769415131613,11,mlp
20,6980,1,0.5714327862693204,0.6927192442905631,0.6896828651837539,9,mlp
20,6980,2,0.5249826206515232,0.6955492045111242,0.6912791088640545,8,mlp
20,6980,3,0.516544790731536,0.6981790385072182,0.6936318669675413,9,mlp
20,6980,4,0.5000760805689626,0.6921907137226239,0.6873811689794709,9,mlp
50,6950,0,0.59225108101964,0.6925822535699788,0.6900704857078542,9,mlp
50,6950,1,0.5972439688113,0.6909225715374768,0.6885773481202723,9,mlp
50,6950,2,0.5800414164033201,0.6933375708705688,0.6905012279930259,8,mlp
50,6950,3,0.5658908916844262,0.6990034200713442,0.6956709775910486,6,mlp
50,6950,4,0.5654893347786533,0.6898608505802253,0.6867472383294705,10,mlp
100,6900,0,0.6794265479677253,0.688441829464947,0.6882161351247212,8,mlp
100,6900,1,0.627775851637125,0.6958168016762583,0.6941134119563398,8,mlp
100,6900,2,0.6336511522531509,0.6886667871474754,0.6872894833790869,6,mlp
100,6900,3,0.6060051454438103,0.6952512876523231,0.6930170318588449,11,mlp
100,6900,4,0.5931370639138751,0.6922700809074128,0.6897883089217575,8,mlp
120,6880,0,0.6966234234472116,0.6901673264469361,0.6903289537319864,8,mlp
120,6880,1,0.6641110057632128,0.6959654788729787,0.6951680083500716,8,mlp
120,6880,2,0.6340177754561106,0.6921861247609924,0.6907298929564478,9,mlp
120,6880,3,0.642745333413283,0.7002092684876869,0.6987706733607171,7,mlp
120,6880,4,0.6232542594273885,0.6889492012616831,0.6873045435637722,10,mlp
170,6830,0,0.7311145563920339,0.6917079814633995,0.6926945162216857,6,mlp
170,6830,1,0.6817981948455175,0.6943061811855785,0.6939930455531357,13,mlp
170,6830,2,0.6766136379705535,0.6948362647817495,0.6943800647189952,7,mlp
170,6830,3,0.6491960965924792,0.6967619229998232,0.6955711244539421,5,mlp
170,6830,4,0.6393352593812678,0.690016581338449,0.6887477880090563,10,mlp
