# 2025-12-13 15:02:09
# 5特徴量使用, MLPモデル
# mlp vs. attention_mlp 比較用のためのmlp
n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch,model_type
0,7000,0,0.4062974982791477,0.6756081979100017,0.6688660660885554,8,attention_mlp
0,7000,1,0.39123981404635644,0.6865505450890106,0.679157508112314,10,attention_mlp
0,7000,2,0.42501166255937683,0.6693364368225534,0.6632198219580034,9,attention_mlp
0,7000,3,0.3925064164731238,0.6846472930040918,0.6773336128304519,10,attention_mlp
0,7000,4,0.43081774769557846,0.6729727116866454,0.6669104187522649,8,attention_mlp
1,6999,0,0.4147159734533893,0.6805697082702639,0.6739141213285357,6,attention_mlp
1,6999,1,0.4220721568498347,0.6847686473235021,0.6781920997156491,8,attention_mlp
1,6999,2,0.4219132545921538,0.6797000119511102,0.6732463797555022,7,attention_mlp
1,6999,3,0.37671736710601383,0.6903647271711671,0.6825126388481972,7,attention_mlp
1,6999,4,0.4353282008734014,0.6744246910526795,0.6684389656943286,10,attention_mlp
2,6998,0,0.4367740586813953,0.6777945282628571,0.6717606373299665,8,attention_mlp
2,6998,1,0.3992969752030654,0.6832443926584364,0.6761358336847333,9,attention_mlp
2,6998,2,0.4534868724230263,0.6761651051000888,0.6705904070155823,8,attention_mlp
2,6998,3,0.3890237476831923,0.6889775726869809,0.6814682979042148,6,attention_mlp
2,6998,4,0.42675611149105763,0.6771860091077475,0.6709165568473219,7,attention_mlp
5,6995,0,0.4503933192334241,0.6787226752055205,0.6730065028816565,10,attention_mlp
5,6995,1,0.40710593910059995,0.6846037192054932,0.6776566251980268,6,attention_mlp
5,6995,2,0.4482189878407452,0.6843817230120046,0.6784694422287698,8,attention_mlp
5,6995,3,0.38363045184976524,0.6836818980953833,0.6761701791670293,11,attention_mlp
5,6995,4,0.43348403585453826,0.67311910692617,0.6671198967721842,6,attention_mlp
10,6990,0,0.42661595303151345,0.6784048894690629,0.6721014127142401,8,attention_mlp
10,6990,1,0.4172158009476132,0.6899882521714149,0.6831594570248448,7,attention_mlp
10,6990,2,0.4583683999048339,0.6815438115140277,0.675956666748064,7,attention_mlp
10,6990,3,0.39801676509281,0.6867353881620596,0.6795073848534103,6,attention_mlp
10,6990,4,0.4488983228802681,0.676439202090356,0.6707427681285126,8,attention_mlp
20,6980,0,0.4878182814766963,0.6757708969346636,0.6710655485125717,8,attention_mlp
20,6980,1,0.5466796188718743,0.683141186509669,0.6797249033113375,8,attention_mlp
20,6980,2,0.5154235493391752,0.6794389533184565,0.6753328655469484,6,attention_mlp
20,6980,3,0.4883547044462628,0.6885643412349759,0.6835521412469312,8,attention_mlp
20,6980,4,0.46040345759441453,0.6768016094147904,0.6713841326679822,9,attention_mlp
50,6950,0,0.571406740281317,0.6806415593830839,0.6779068914230431,8,attention_mlp
50,6950,1,0.5638766905499829,0.6836965526195081,0.6806968900922982,8,attention_mlp
50,6950,2,0.5643164043625196,0.6792633706177671,0.6763856986418408,7,attention_mlp
50,6950,3,0.5274699442088604,0.6816203400436869,0.6777612210117975,9,attention_mlp
50,6950,4,0.5696612066692777,0.675996556713182,0.6733344764746946,9,attention_mlp
100,6900,0,0.6410446849962076,0.6824083986762545,0.6813728684567236,5,attention_mlp
100,6900,1,0.6064853688908948,0.683654446348803,0.6817225356494311,10,attention_mlp
100,6900,2,0.6122044018573232,0.6747245514252557,0.6731593749137473,9,attention_mlp
100,6900,3,0.6095564899345239,0.6882720768821031,0.6863014517955596,7,attention_mlp
100,6900,4,0.5852498966786597,0.6748893067311129,0.6726452028348081,8,attention_mlp
120,6880,0,0.6858408111664984,0.6734768758493392,0.6737864042181516,9,attention_mlp
120,6880,1,0.64348689880636,0.6825544706541784,0.6815764246138023,10,attention_mlp
120,6880,2,0.6310228026575513,0.680821389253497,0.6795746933614449,6,attention_mlp
120,6880,3,0.5814278320305877,0.6810316823824135,0.6785381216820076,10,attention_mlp
120,6880,4,0.5670080778913366,0.6744227129912878,0.6717336138371011,6,attention_mlp
170,6830,0,0.7330975722935464,0.6812313540248113,0.6825298141682927,11,attention_mlp
170,6830,1,0.6838771709137492,0.6812804113241835,0.6813454212104676,10,attention_mlp
170,6830,2,0.6622399257289039,0.6808434812599174,0.6803777448662008,8,attention_mlp
170,6830,3,0.6216230139964156,0.6834184980573274,0.6818714639481536,10,attention_mlp
170,6830,4,0.607980286081632,0.6744307067478408,0.6727671361222646,6,attention_mlp
