number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_ecfp_bits,params_hidden_units,state
35,0.3357833404541016,2025-12-09 12:59:19.747259,2025-12-09 13:00:19.314330,0 days 00:00:59.567071,0.25711886977338405,4096,2000,COMPLETE
36,0.3253152961730957,2025-12-09 13:00:19.342546,2025-12-09 13:01:17.548247,0 days 00:00:58.205701,0.10010294631084064,512,2000,COMPLETE
37,0.3252384567260742,2025-12-09 13:01:17.575236,2025-12-09 13:02:04.628032,0 days 00:00:47.052796,0.18220563653349414,512,2000,COMPLETE
38,0.33309010314941406,2025-12-09 13:02:04.669266,2025-12-09 13:02:53.204153,0 days 00:00:48.534887,0.31601744716961344,2048,2000,COMPLETE
39,0.3380879898071289,2025-12-09 13:02:53.232139,2025-12-09 13:03:36.785175,0 days 00:00:43.553036,0.2834792717418797,1024,512,COMPLETE
40,0.3251173896789551,2025-12-09 13:03:36.812709,2025-12-09 13:04:30.734142,0 days 00:00:53.921433,0.1402657140292263,512,2000,COMPLETE
41,0.3242704544067383,2025-12-09 13:04:30.774983,2025-12-09 13:05:26.824304,0 days 00:00:56.049321,0.12249216463013853,512,2000,COMPLETE
42,0.31894648361206057,2025-12-09 13:05:26.854129,2025-12-09 13:06:19.756314,0 days 00:00:52.902185,0.170747184711221,512,2000,COMPLETE
43,0.332568546295166,2025-12-09 13:06:19.803975,2025-12-09 13:07:12.982844,0 days 00:00:53.178869,0.1686820427823158,2048,2000,COMPLETE
44,0.3253843574523926,2025-12-09 13:07:13.022310,2025-12-09 13:08:05.804888,0 days 00:00:52.782578,0.19456769265386398,512,2000,COMPLETE
45,0.34223791885375976,2025-12-09 13:08:05.832571,2025-12-09 13:08:48.386204,0 days 00:00:42.553633,0.220641554486748,1024,512,COMPLETE
46,0.32504313278198244,2025-12-09 13:08:48.413642,2025-12-09 13:09:40.111146,0 days 00:00:51.697504,0.2412272700321575,512,2000,COMPLETE
47,0.32597754287719727,2025-12-09 13:09:40.138284,2025-12-09 13:10:36.192354,0 days 00:00:56.054070,0.1481539091609987,512,2000,COMPLETE
48,0.37539990997314454,2025-12-09 13:10:36.220073,2025-12-09 13:11:26.860748,0 days 00:00:50.640675,0.27184888319519884,4096,512,COMPLETE
49,0.32881106185913084,2025-12-09 13:11:26.887770,2025-12-09 13:12:16.546971,0 days 00:00:49.659201,0.17917819713780347,2048,2000,COMPLETE
50,0.32212871170043944,2025-12-09 13:12:16.574375,2025-12-09 13:13:09.982943,0 days 00:00:53.408568,0.2017965416372388,1024,2000,COMPLETE
51,0.3273084945678711,2025-12-09 13:13:10.011464,2025-12-09 13:13:57.532538,0 days 00:00:47.521074,0.20278425889271537,1024,2000,COMPLETE
52,0.3223137092590332,2025-12-09 13:13:57.563384,2025-12-09 13:14:45.063769,0 days 00:00:47.500385,0.1149605695416819,1024,2000,COMPLETE
53,0.32484056854248045,2025-12-09 13:14:45.091253,2025-12-09 13:15:31.826277,0 days 00:00:46.735024,0.11389047017823561,1024,2000,COMPLETE
54,0.3256021957397461,2025-12-09 13:15:31.853587,2025-12-09 13:16:18.872965,0 days 00:00:47.019378,0.21645428807657968,1024,2000,COMPLETE
55,0.3250979194641113,2025-12-09 13:16:18.900711,2025-12-09 13:17:10.952222,0 days 00:00:52.051511,0.47537290002182964,1024,2000,COMPLETE
56,0.32320122146606445,2025-12-09 13:17:10.980519,2025-12-09 13:18:01.018260,0 days 00:00:50.037741,0.19076714656596963,1024,2000,COMPLETE
57,0.33990369415283206,2025-12-09 13:18:01.046830,2025-12-09 13:18:47.861762,0 days 00:00:46.814932,0.2456489837146884,1024,512,COMPLETE
58,0.32359719467163084,2025-12-09 13:18:47.919292,2025-12-09 13:19:40.271158,0 days 00:00:52.351866,0.18697744065461963,1024,2000,COMPLETE
59,0.3244350700378418,2025-12-09 13:19:40.298490,2025-12-09 13:20:31.493459,0 days 00:00:51.194969,0.23117575533067172,1024,2000,COMPLETE
60,0.3249273872375488,2025-12-09 13:20:31.524878,2025-12-09 13:21:19.181749,0 days 00:00:47.656871,0.20699234996836238,1024,2000,COMPLETE
61,0.3242423820495606,2025-12-09 13:21:19.209875,2025-12-09 13:22:08.315476,0 days 00:00:49.105601,0.1586407821272599,1024,2000,COMPLETE
62,0.32523910522460936,2025-12-09 13:22:08.344310,2025-12-09 13:22:56.491941,0 days 00:00:48.147631,0.1692211372271955,1024,2000,COMPLETE
63,0.32533061218261716,2025-12-09 13:22:56.520872,2025-12-09 13:23:47.214104,0 days 00:00:50.693232,0.1127383850781609,1024,2000,COMPLETE
64,0.3229744071960449,2025-12-09 13:23:47.242014,2025-12-09 13:24:35.686606,0 days 00:00:48.444592,0.13908850389471408,1024,2000,COMPLETE
65,0.3249582061767578,2025-12-09 13:24:35.714971,2025-12-09 13:25:24.868880,0 days 00:00:49.153909,0.13119021196496283,1024,2000,COMPLETE
66,0.3293301429748535,2025-12-09 13:25:24.896572,2025-12-09 13:26:11.284751,0 days 00:00:46.388179,0.14072189290448278,1024,1024,COMPLETE
67,0.32240077972412107,2025-12-09 13:26:11.312466,2025-12-09 13:27:01.138941,0 days 00:00:49.826475,0.19136542181256438,1024,2000,COMPLETE
68,0.32190827560424806,2025-12-09 13:27:01.167914,2025-12-09 13:27:51.084208,0 days 00:00:49.916294,0.14186550632485373,1024,2000,COMPLETE
69,0.3252061653137207,2025-12-09 13:27:51.112387,2025-12-09 13:28:42.267113,0 days 00:00:51.154726,0.11340088415878789,1024,2000,COMPLETE
70,0.32522620010375974,2025-12-09 13:28:42.294564,2025-12-09 13:29:31.324023,0 days 00:00:49.029459,0.14129014019945602,1024,2000,COMPLETE
71,0.323924674987793,2025-12-09 13:29:31.354246,2025-12-09 13:30:25.840286,0 days 00:00:54.486040,0.16034035203880767,1024,2000,COMPLETE
72,0.3233419647216797,2025-12-09 13:30:25.868214,2025-12-09 13:31:19.327132,0 days 00:00:53.458918,0.19718132888614437,1024,2000,COMPLETE
73,0.3363084411621094,2025-12-09 13:31:19.383222,2025-12-09 13:32:14.599345,0 days 00:00:55.216123,0.1503990906844512,4096,2000,COMPLETE
74,0.32760369110107423,2025-12-09 13:32:14.627931,2025-12-09 13:33:03.676318,0 days 00:00:49.048387,0.10693123129987687,1024,2000,COMPLETE
75,0.34179555892944335,2025-12-09 13:33:03.704378,2025-12-09 13:33:51.555943,0 days 00:00:47.851565,0.18112395352318886,2048,1024,COMPLETE
76,0.3227765731811523,2025-12-09 13:33:51.586227,2025-12-09 13:34:46.904283,0 days 00:00:55.318056,0.40438892999355425,1024,2000,COMPLETE
77,0.3229473075866699,2025-12-09 13:34:46.932672,2025-12-09 13:35:43.334943,0 days 00:00:56.402271,0.35930931242600095,1024,2000,COMPLETE
78,0.32340407180786135,2025-12-09 13:35:43.501695,2025-12-09 13:36:37.819106,0 days 00:00:54.317411,0.3979279215169203,1024,2000,COMPLETE
79,0.33633840560913086,2025-12-09 13:36:37.847155,2025-12-09 13:37:22.678516,0 days 00:00:44.831361,0.3356877011528073,1024,512,COMPLETE
80,0.3243407783508301,2025-12-09 13:37:22.705919,2025-12-09 13:38:13.993835,0 days 00:00:51.287916,0.4449009245726611,1024,2000,COMPLETE
81,0.32339695739746094,2025-12-09 13:38:14.023340,2025-12-09 13:39:01.242359,0 days 00:00:47.219019,0.4091015531909602,1024,2000,COMPLETE
82,0.3244429016113281,2025-12-09 13:39:01.269916,2025-12-09 13:39:49.825273,0 days 00:00:48.555357,0.3468223421350617,1024,2000,COMPLETE
83,0.3229268379211426,2025-12-09 13:39:49.853372,2025-12-09 13:40:41.705856,0 days 00:00:51.852484,0.3666947744269974,1024,2000,COMPLETE
84,0.3211711082458496,2025-12-09 13:40:41.733683,2025-12-09 13:41:33.512204,0 days 00:00:51.778521,0.3599634241036105,1024,2000,COMPLETE
85,0.3215243530273437,2025-12-09 13:41:33.553443,2025-12-09 13:42:26.083975,0 days 00:00:52.530532,0.38700982920418514,1024,2000,COMPLETE
86,0.3403631591796875,2025-12-09 13:42:26.112374,2025-12-09 13:43:17.498880,0 days 00:00:51.386506,0.38932052296543884,4096,2000,COMPLETE
87,0.3255990333557129,2025-12-09 13:43:17.527558,2025-12-09 13:44:07.257985,0 days 00:00:49.730427,0.39516907254296824,1024,2000,COMPLETE
