n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.4401321773727735,0.519454896945468,0.5170752165392041,3
500,500,1000,1,0.42951517983486776,0.5312698390372819,0.5293365026414394,3
500,500,1000,2,0.4620427317917347,0.5224234756351132,0.520612052988261,3
500,500,1000,3,0.3194344175003824,0.531105544368629,0.5266604509092867,3
500,500,1000,4,0.4520469994648643,0.5285847250513311,0.526824357586418,3
1000,500,1000,0,0.5502699459237712,0.6058655887566231,0.6043089119046926,87
1000,500,1000,1,0.475838513750779,0.614606905508327,0.6119703075550497,82
1000,500,1000,2,0.5605452828682386,0.6064925382039997,0.6052979090511799,98
1000,500,1000,3,0.45491875186562536,0.6178364409266838,0.6145780863016844,82
1000,500,1000,4,0.5063636941569192,0.6249246327168166,0.6216049267873168,88
2000,500,1000,0,0.6739780967650206,0.6438200582703433,0.6445136938625947,64
2000,500,1000,1,0.555862637093434,0.6431111631727562,0.640842700690031,47
2000,500,1000,2,0.6032320059114887,0.6317642544135759,0.6308797530625015,55
2000,500,1000,3,0.6459877014160156,0.6459515269180494,0.6459522497672587,71
2000,500,1000,4,0.6337755719820658,0.6481694896995532,0.647824036501348,51
5000,500,1000,0,0.6578506951530775,0.6710403308898317,0.6707633480024524,6
5000,500,1000,1,0.6996672821455988,0.6695341544032066,0.6704080163110048,11
5000,500,1000,2,0.653535990154042,0.6735435094521405,0.6732033816762268,5
5000,500,1000,3,0.6597082724173864,0.6770571594347352,0.6765366922356189,30
5000,500,1000,4,0.6580292388796807,0.664765161362275,0.6645630833804608,11
7000,500,1000,0,0.7288008466362953,0.6736488139093614,0.6753033752171322,17
7000,500,1000,1,0.6723674749550612,0.6834017861431452,0.683147995253792,6
7000,500,1000,2,0.6917426600342705,0.6893728044344468,0.6894225732572377,12
7000,500,1000,3,0.6298791868933316,0.6819166566746887,0.6804075716789811,6
7000,500,1000,4,0.6400764845311642,0.6897741216036427,0.6881837947660824,7
