n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.4565905558566252,0.526120035686367,0.5240341504756362,3
500,500,1000,1,0.4553251925267671,0.5645811012684995,0.5625052394494414,84
500,500,1000,2,0.46270683952607217,0.5182235328307778,0.5165580312972888,3
500,500,1000,3,0.3313959691496122,0.5368643662111264,0.5325495291501283,3
500,500,1000,4,0.46156872873720917,0.5343525086566729,0.5326784793585538,3
1000,500,1000,0,0.5397009705858571,0.6028147688472774,0.6010475831069052,55
1000,500,1000,1,0.4790760121847454,0.616834115438262,0.6142167135514319,88
1000,500,1000,2,0.5510594420708143,0.6052668761109141,0.6038574820132926,97
1000,500,1000,3,0.4455842234194279,0.616405219381333,0.6129888001643121,82
1000,500,1000,4,0.5442811170858997,0.6234096158832434,0.6211940198540687,74
2000,500,1000,0,0.6711653211842412,0.6461985659410943,0.6467728015528992,74
2000,500,1000,1,0.5597242426413757,0.6422323324866746,0.6400871228734031,38
2000,500,1000,2,0.6166901086126605,0.6341095735637089,0.6335695694349707,84
2000,500,1000,3,0.5990611772984267,0.6403009626976386,0.6394761664681137,48
2000,500,1000,4,0.6266832848389944,0.6527414895846035,0.6521160941570997,77
5000,500,1000,0,0.6496870379362788,0.6758989159272749,0.6753484664708376,7
5000,500,1000,1,0.7118450783450028,0.6690802777763437,0.6703204554729164,20
5000,500,1000,2,0.6918161949690651,0.6737826219660401,0.6740891902633012,22
5000,500,1000,3,0.6625718474388123,0.6746395377672672,0.6742775068301707,22
5000,500,1000,4,0.6257886702815691,0.6636389224914853,0.6625034127365798,17
7000,500,1000,0,0.7349237412214279,0.678041884979022,0.6797483415994793,14
7000,500,1000,1,0.7198499842830326,0.6834460647687117,0.6842833550479263,5
7000,500,1000,2,0.6968296301506814,0.6910445435834521,0.6911660306798294,8
7000,500,1000,3,0.6569939337927719,0.6838168436229751,0.6830389785412699,11
7000,500,1000,4,0.6484217727556825,0.6885867781267494,0.6873014976494014,5
